.id,Player,Rating,Games,Win,Draw,Loss,Lag,name
2001,103498,2384.112614,70,45,0,25,2,Marat Safin
2015,104542,2383.774068,48,32,0,16,3,Jo Wilfried Tsonga
1985,100689,2383.734217,67,48,0,19,0,Tim Mayotte
1997,102701,2383.552717,86,60,0,26,2,Marcelo Rios
1994,101529,2383.481598,85,60,0,25,3,Michael Stich
2006,104925,2383.41435,58,40,0,18,2,Novak Djokovic
2005,103484,2383.115312,56,35,0,21,2,James Blake
1985,100893,2383.016077,71,50,0,21,0,Joakim Nystrom
1996,101320,2382.951382,54,37,0,17,4,Magnus Gustafsson
1986,101142,2382.510241,79,54,0,25,4,Emilio Sanchez
1995,101529,2382.257545,66,47,0,19,6,Michael Stich
1994,102374,2381.945018,66,44,0,22,3,Alex Corretja
1986,101298,2381.732959,53,34,0,19,4,Jonas Svensson
2000,102358,2381.646279,74,51,0,23,2,Thomas Enqvist
2007,103484,2381.638648,80,55,0,25,0,James Blake
1993,101475,2381.590862,71,45,0,26,3,Carlos Costa
2001,102856,2381.502206,78,60,0,18,1,Gustavo Kuerten
1998,102563,2381.392771,78,47,0,31,2,Thomas Johansson
2009,104269,2381.293323,77,52,0,25,1,Fernando Verdasco
2015,104731,2380.485655,70,46,0,24,3,Kevin Anderson
1987,101073,2380.327498,67,46,0,21,2,Martin Jaite
1998,101320,2380.177783,61,40,0,21,0,Magnus Gustafsson
2008,104792,2380.109451,47,30,0,17,2,Gael Monfils
2001,103206,2379.864809,76,50,0,26,0,Sebastien Grosjean
2004,104022,2379.761758,69,42,0,27,2,Mikhail Youzhny
2001,101736,2379.054418,61,46,0,15,1,Andre Agassi
1999,102338,2378.0892,94,62,0,32,1,Yevgeny Kafelnikov
1999,102358,2378.069921,75,47,0,28,1,Thomas Enqvist
1988,101036,2377.984998,48,35,0,13,6,Miloslav Mecir
2011,105227,2377.796959,67,44,0,23,3,Marin Cilic
2004,103900,2377.449856,48,34,0,14,3,David Nalbandian
1987,100581,2377.415347,41,29,0,12,16,John Mcenroe
2000,103096,2377.314609,63,36,0,27,3,Arnaud Clement
2002,102562,2377.30541,80,53,0,27,1,Jiri Novak
1992,101820,2377.265482,69,42,0,27,1,Marc Rosset
2014,104527,2376.898344,59,42,0,17,0,Stanislas Wawrinka
1985,100936,2376.532189,72,47,0,25,0,Henri Leconte
2003,103758,2376.484773,41,28,0,13,3,Taylor Dent
2010,104053,2376.366938,66,48,0,18,1,Andy Roddick
2015,105227,2376.342933,54,35,0,19,3,Marin Cilic
1988,101230,2376.235749,65,48,0,17,2,Andrei Chesnokov
1985,100942,2375.148602,58,36,0,22,7,Thierry Tulasne
2005,103292,2375.012351,77,56,0,21,1,Gaston Gaudio
2009,103602,2374.926142,55,39,0,16,2,Fernando Gonzalez
2000,101965,2374.896495,65,43,0,22,3,Wayne Ferreira
2013,104755,2374.844445,73,50,0,23,2,Richard Gasquet
1996,102701,2374.67015,83,58,0,25,3,Marcelo Rios
1988,101381,2374.575853,74,50,0,24,2,Aaron Krickstein
1987,101649,2374.535484,55,40,0,15,2,Guillermo Perez Roldan
1999,102701,2374.102706,65,47,0,18,3,Marcelo Rios
2012,105023,2373.167398,62,37,0,25,3,Sam Querrey
2011,104792,2373.094773,55,38,0,17,3,Gael Monfils
1986,101073,2373.081977,58,42,0,16,4,Martin Jaite
2007,104755,2372.715403,74,49,0,25,1,Richard Gasquet
1986,100893,2372.677963,77,59,0,18,1,Joakim Nystrom
1995,102338,2372.615721,106,74,0,32,0,Yevgeny Kafelnikov
1995,101774,2372.07216,72,47,0,25,0,Todd Martin
2015,104545,2371.739192,70,45,0,25,3,John Isner
1988,100944,2371.682252,43,31,0,12,6,Mikael Pernfors
1997,102021,2371.530104,78,57,0,21,0,Michael Chang
2004,103017,2371.480327,57,37,0,20,11,Nicolas Kiefer
1993,101774,2371.096912,68,45,0,23,0,Todd Martin
1997,101532,2370.430624,65,41,0,24,2,Francisco Clavet
1996,101222,2370.407378,72,46,0,26,1,Stefan Edberg
2001,103507,2370.331108,78,57,0,21,1,Juan Carlos Ferrero
2005,103786,2370.230567,86,56,0,30,1,Nikolay Davydenko
1988,100763,2369.949641,45,30,0,15,3,Brad Gilbert
2005,104068,2369.861033,60,37,0,23,2,Robby Ginepri
2014,105138,2369.674438,69,45,0,24,2,Roberto Bautista Agut
2012,105227,2369.609437,58,39,0,19,3,Marin Cilic
1990,101298,2369.419166,60,41,0,19,0,Jonas Svensson
1985,100532,2369.366045,64,43,0,21,0,Johan Kriek
1991,101609,2369.217,52,33,0,19,0,David Wheaton
2007,103720,2369.079234,52,36,0,16,7,Lleyton Hewitt
2001,104053,2369.071412,58,42,0,16,2,Andy Roddick
1990,100581,2369.063046,48,33,0,15,2,John Mcenroe
1994,101793,2368.758014,66,47,0,19,4,Jim Courier
2000,102796,2368.442401,94,69,0,25,1,Magnus Norman
2012,104597,2368.411368,83,59,0,24,1,Nicolas Almagro
2012,105453,2368.310238,56,37,0,19,3,Kei Nishikori
2012,105683,2368.038979,67,46,0,21,3,Milos Raonic
1989,101409,2367.937923,54,37,0,17,2,Jaime Yzaga
2010,103900,2367.937118,39,28,0,11,2,David Nalbandian
2004,103909,2367.848957,53,39,0,14,1,Guillermo Coria
1997,102456,2367.494441,75,53,0,22,2,Felix Mantilla
2001,102563,2367.281885,71,46,0,25,2,Thomas Johansson
2013,104542,2366.833423,55,39,0,16,3,Jo Wilfried Tsonga
1989,101142,2366.77901,56,38,0,18,2,Emilio Sanchez
2000,102882,2366.05352,66,43,0,23,3,Mark Philippoussis
2012,104527,2365.876058,55,35,0,20,3,Stanislas Wawrinka
1985,100653,2365.685639,43,28,0,15,0,Andres Gomez
2003,103454,2365.623018,55,35,0,20,2,Nicolas Massu
2004,103163,2365.586659,57,37,0,20,2,Tommy Haas
1988,100676,2365.527465,47,36,0,11,17,Yannick Noah
2013,104022,2365.150307,63,39,0,24,3,Mikhail Youzhny
2001,101962,2365.133443,56,33,0,23,3,Younes El Aynaoui
1996,102257,2364.333683,68,42,0,26,3,Greg Rusedski
1987,101142,2364.159149,88,60,0,28,2,Emilio Sanchez
2011,104053,2363.972627,50,34,0,16,3,Andy Roddick
2013,103990,2363.697763,56,36,0,20,7,Tommy Robredo
1995,101964,2363.205614,71,47,0,24,0,Goran Ivanisevic
2012,104755,2362.877081,64,42,0,22,3,Richard Gasquet
2012,104468,2362.777064,69,44,0,25,3,Gilles Simon
2002,104053,2362.59137,78,56,0,22,2,Andy Roddick
2002,103602,2362.483416,62,40,0,22,2,Fernando Gonzalez
1997,102344,2362.29883,64,37,0,27,2,Karol Kucera
2007,104607,2362.264722,70,46,0,24,2,Tomas Berdych
2007,104338,2362.230657,60,41,0,19,2,Juan Monaco
2014,105676,2362.205418,40,25,0,15,2,David Goffin
1987,101106,2361.80312,43,27,0,16,4,Peter Lundgren
2005,104755,2361.771669,42,31,0,11,6,Richard Gasquet
2013,104545,2361.692882,63,39,0,24,3,John Isner
1989,100653,2361.628311,49,32,0,17,8,Andres Gomez
2006,104918,2361.578677,65,40,0,25,2,Andy Murray
2014,103990,2361.418694,69,43,0,26,2,Tommy Robredo
2006,103163,2361.381477,70,49,0,21,2,Tommy Haas
2012,103163,2361.078792,48,31,0,17,6,Tommy Haas
2009,104468,2360.974127,71,45,0,26,2,Gilles Simon
1988,101649,2360.913139,66,44,0,22,5,Guillermo Perez Roldan
2005,104607,2360.876832,63,34,0,29,2,Tomas Berdych
2010,104527,2360.828943,55,36,0,19,2,Stanislas Wawrinka
2008,103484,2360.010022,72,48,0,24,2,James Blake
1992,101843,2359.981841,68,46,0,22,3,Sergi Bruguera
1991,101084,2359.951034,77,50,0,27,0,Jakob Hlasek
1999,103163,2359.851461,72,48,0,24,2,Tommy Haas
2001,103084,2359.231075,66,45,0,21,2,Guillermo Canas
1988,101142,2359.182668,67,43,0,24,2,Emilio Sanchez
1997,101964,2358.543155,78,56,0,22,4,Goran Ivanisevic
2008,103602,2358.333099,56,40,0,16,4,Fernando Gonzalez
2007,103786,2358.329318,85,53,0,32,1,Nikolay Davydenko
2013,103163,2358.278311,71,47,0,24,3,Tommy Haas
1997,102882,2357.6309,69,48,0,21,4,Mark Philippoussis
2000,103206,2357.374129,71,44,0,27,2,Sebastien Grosjean
2002,102450,2357.116027,70,50,0,20,2,Tim Henman
2008,104607,2357.049866,57,35,0,22,2,Tomas Berdych
1990,102021,2357.034113,53,34,0,19,0,Michael Chang
2011,105453,2356.690856,58,36,0,22,3,Kei Nishikori
1989,101793,2356.653766,48,30,0,18,2,Jim Courier
